id_product ,id_user ,cost_price,revenue,prev_sales
ID001,User001,15,7,1500
ID002,User002,78,12,2000
ID003,User003,141,17,2500
ID004,User004,204,22,3000
ID005,User005,267,27,3500
ID006,User006,330,32,4000
ID007,User007,393,37,4500
ID008,User008,456,42,5000
ID009,User009,90,47,5500
ID010,User010,89,52,6000
ID011,User011,56,57,6500
ID012,User012,34,62,7000
ID013,User013,90,67,7500
ID014,User014,76,72,8000
ID015,User015,93,77,8500
ID016,User016,16,82,9000
ID017,User017,112,87,9500
ID018,User018,127.8,92,10000
ID019,User019,1394,97,10500
ID020,User020,151,102,11000
ID021,User021,162,107,11500
ID022,User022,174.2,112,12000
ID023,User023,185,117,12500
ID024,User024,194,122,13000
ID025,User025,209,127,13500
ID026,User026,26,132,14000
ID027,User027,232,137,14500
ID028,User028,243.8,142,15000
ID029,User029,255,147,15500
ID030,User030,267,152,16000
ID031,User031,278,157,16500
ID032,User032,292,162,17000
ID033,User033,445,167,17500
ID034,User034,9078,172,18000
ID035,User035,67,177,18500
ID036,User036,90,182,19000
ID037,User037,75,187,19500
ID038,User038,3334,192,20000
ID039,User039,563,197,20500
ID040,User040,365,202,21000
ID041,User041,895,207,21500
ID042,User042,986,212,22000
ID043,User043,525,217,22500
ID044,User044,556,222,23000
ID045,User045,321,227,23500
ID046,User046,556,232,24000
ID047,User047,2266,237,24500
ID048,User048,32,242,25000
ID049,User049,566,247,25500
ID050,User050,214,252,26000
ID051,User051,365,257,26500
ID052,User052,214,262,27000
ID053,User053,666,267,27500
ID054,User054,695,272,28000
ID055,User055,286,277,28500
ID056,User056,3569,282,29000
ID057,User057,36,287,29500
ID058,User058,25,292,30000
ID059,User059,85,297,30500
ID060,User060,789,302,31000
ID061,User061,456,307,31500
ID062,User062,123,312,32000
ID063,User063,566,317,32500
ID064,User064,689,322,33000
ID065,User065,256,327,33500
ID066,User066,353,332,34000
ID067,User067,365,337,34500
ID068,User068,589,342,35000
ID069,User069,253,347,35500
ID070,User070,325,352,36000
ID071,User071,452,357,36500
ID072,User072,566,362,37000
ID073,User073,856,367,37500
ID074,User074,356,372,38000
ID075,User075,554,377,38500
ID076,User076,585,382,39000
ID077,User077,2553,387,39500
ID078,User078,456,392,40000
ID079,User079,124,397,40500
ID080,User080,456,402,41000
ID081,User081,856,407,41500
ID082,User082,236,412,42000
ID083,User083,589,417,42500
ID084,User084,365,422,43000
ID085,User085,635,427,43500
ID086,User086,556,432,44000
ID087,User087,356,437,44500
ID088,User088,358,442,45000
ID089,User089,555,447,45500
ID090,User090,365,452,46000
ID091,User091,555,457,46500
ID092,User092,365,462,47000
ID093,User093,224,467,47500
ID094,User094,8,472,48000
ID095,User095,566,477,48500
ID096,User096,233,482,49000
ID097,User097,25566,487,49500
ID098,User098,225,492,50000
ID099,User099,556,497,50500
ID100,User100,225,502,51000
,,,,
,,,,
,,,,
,,,,
,,,,
